Participant,block_order,group,trial,A,B,DA,DB,R,index
2015,7,3,1,3,30,0,101,1,1
2015,7,3,2,6,30,0,101,0,1
2015,7,3,3,9,30,0,101,0,1
2015,7,3,4,12,30,0,101,0,1
2015,7,3,5,15,30,0,101,0,1
2015,7,3,6,18,30,0,101,0,1
2015,7,3,7,21,30,0,101,0,1
2015,7,3,8,24,30,0,101,0,1
2015,7,3,9,27,30,0,101,0,1
2015,7,3,10,30,30,0,101,0,1
2015,7,3,11,3,30,0,56,1,2
2015,7,3,12,6,30,0,56,1,2
2015,7,3,13,9,30,0,56,1,2
2015,7,3,14,12,30,0,56,0,2
2015,7,3,15,15,30,0,56,0,2
2015,7,3,16,18,30,0,56,0,2
2015,7,3,17,21,30,0,56,0,2
2015,7,3,18,24,30,0,56,0,2
2015,7,3,19,27,30,0,56,0,2
2015,7,3,20,30,30,0,56,0,2
2015,7,3,21,3,30,0,7,1,3
2015,7,3,22,6,30,0,7,1,3
2015,7,3,23,9,30,0,7,1,3
2015,7,3,24,12,30,0,7,1,3
2015,7,3,25,15,30,0,7,1,3
2015,7,3,26,18,30,0,7,1,3
2015,7,3,27,21,30,0,7,0,3
2015,7,3,28,24,30,0,7,0,3
2015,7,3,29,27,30,0,7,0,3
2015,7,3,30,30,30,0,7,0,3
2015,7,3,31,3,30,0,29,1,4
2015,7,3,32,6,30,0,29,1,4
2015,7,3,33,9,30,0,29,1,4
2015,7,3,34,12,30,0,29,0,4
2015,7,3,35,15,30,0,29,0,4
2015,7,3,36,18,30,0,29,0,4
2015,7,3,37,21,30,0,29,0,4
2015,7,3,38,24,30,0,29,0,4
2015,7,3,39,27,30,0,29,0,4
2015,7,3,40,30,30,0,29,0,4
2015,7,3,41,3,30,0,15,1,5
2015,7,3,42,6,30,0,15,0,5
2015,7,3,43,9,30,0,15,0,5
2015,7,3,44,12,30,0,15,0,5
2015,7,3,45,15,30,0,15,0,5
2015,7,3,46,18,30,0,15,0,5
2015,7,3,47,21,30,0,15,0,5
2015,7,3,48,24,30,0,15,0,5
2015,7,3,49,27,30,0,15,0,5
2015,7,3,50,30,30,0,15,0,5
